"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: mayo 2019"
"Proceso de Liquidacion: Re-Liquidacion Intermedia (L2) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 20/sep/2019 05:10:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","15/05/2019","24","1096.8039","0.0124","18.5847","2880.6612","20921.2511","322.0637","598.15","6042.5827","766.0825","6490.8769","2067.4926"
"SEN","16/05/2019","1","1084.9671","0.0126","20.7437","2891.1036","20402.597","321.582","599.7131","4542.9116","766.7973","6309.1753","2042.3434"
"SEN","16/05/2019","2","1064.9363","0.0127","21.4723","2878.6328","20189.0723","320.2483","600.79","3257.7182","767.0942","6326.9303","2019.7331"
"SEN","16/05/2019","3","1007.7806","0.0125","20.8222","2895.5094","20007.9942","312.3772","602.7124","2503.0349","767.4787","6315.7768","2018.2166"
"SEN","16/05/2019","4","941.8845","0.0123","21.2942","2710.8405","20018.3027","317.5369","602.497","2048.7625","767.835","6321.763","1947.2303"
"SEN","16/05/2019","5","899.7976","0.0118","17.6523","2684.9457","20252.5113","319.5607","603.1554","1557.7046","767.4641","6313.0001","1845.6232"
"SEN","16/05/2019","6","733.2694","0.0182","19.1982","2728.7294","20385.7539","320.2335","604.8607","1827.2313","767.6564","6352.3853","1782.3963"
"SEN","16/05/2019","7","666.4784","2.6192","18.598","2818.2071","20397.5636","322.0346","604.8701","2518.0121","767.9103","6317.0698","1784.9852"
"SEN","16/05/2019","8","707.011","137.2487","18.8071","2779.8454","20623.7845","323.581","606.3072","3012.5131","767.1308","6265.9409","1822.7216"
"SEN","16/05/2019","9","695.3018","937.6946","20.1428","2757.5998","21015.7922","319.027","600.3572","3140.3807","767.3726","6059.563","1984.2"
"SEN","16/05/2019","10","893.615","1706.0419","18.0746","2782.516","21140.949","314.8717","590.1853","3542.9272","767.5481","6092.5523","2068.1634"
"SEN","16/05/2019","11","1156.0431","2358.4839","3.571","2877.1457","20805.9213","314.0444","598.3151","3863.4191","767.3978","6111.7865","2067.0793"
"SEN","16/05/2019","12","1220.7958","2608.739","6.3496","2897.281","21005.8471","307.826","596.1349","4283.9228","767.2935","6115.3945","1954.739"
