"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: agosto 2019"
"Proceso de Liquidacion: Re-Liquidacion Intermedia (L2) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 21/dic/2019 05:10:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","08/08/2019","12","1391.9959","2679.4898","3.7975","3220.1968","22410.6526","389.5504","577.0682","3168.7467","1238.7578","6754.2094","2256.0376"
"SEN","08/08/2019","13","1391.7364","2822.7374","3.6712","3558.7933","22504.9775","384.8511","577.4832","3205.1609","1244.375","6756.6222","2255.0213"
"SEN","08/08/2019","14","1385.8274","2727.5532","3.6439","3632.3774","22489.2077","386.3982","578.0233","3670.4316","1240.5275","6795.2474","2287.3024"
"SEN","08/08/2019","15","1418.4547","2536.8808","3.6346","3619.352","22530.994","384.9517","588.5391","4105.9568","1238.06","6680.3433","2319.2131"
"SEN","08/08/2019","16","1396.2929","2370.8862","3.5873","3639.6407","22526.8351","383.9031","586.0356","4564.8657","1235.8795","6705.5035","2310.8784"
"SEN","08/08/2019","17","1491.3259","2153.9334","3.6104","3640.6727","22327.4113","381.4506","587.4884","4913.7461","1232.7528","6816.1115","2293.9154"
"SEN","08/08/2019","18","1450.2078","1455.3444","3.6369","3642.9689","22276.9982","381.3363","587.711","4983.4408","1229.3424","6927.3673","2250.0877"
"SEN","08/08/2019","19","1701.7322","930.6186","3.6579","3582.872","22243.5591","381.1707","601.9021","4113.8995","1226.8064","6859.1425","2246.5828"
"SEN","08/08/2019","20","1874.8868","506.8835","3.6071","3602.8018","22122.2639","384.7542","611.5996","3130.6776","1227.4151","6745.074","2283.4405"
"SEN","08/08/2019","21","1812.1994","118.3246","3.5714","3624.0133","22377.9629","385.2123","615.9706","4619.9228","1230.5877","6898.8405","2344.937"
"SEN","08/08/2019","22","1703.125","3.593","3.5646","3415.129","22470.08","386.1005","617.7812","5588.6431","1233.4252","6884.7427","2330.9191"
"SEN","08/08/2019","23","1758.5783","0","3.5511","3310.8293","22582.5868","384.985","616.7176","5468.0616","1236.529","6885.4289","2344.4408"
