"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: enero 2019"
"Proceso de Liquidacion: Re-Liquidacion Intermedia (L2) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 23/may/2019 05:10:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","09/01/2019","22","2723.8708","0","26.7153","2891.8223","19839.238","406.7857","571.8866","3045.8947","1462.5702","2517.1584","2018.8374"
"SEN","09/01/2019","23","2639.4943","0","25.7335","2549.5137","19255.8223","394.5559","571.7121","2390.8938","1462.5056","2404.0744","2023.098"
"SEN","09/01/2019","24","2621.5734","0","24.1024","2257.354","18862.0639","372.9331","569.7472","1674.5051","1462.4683","2242.7915","2004.9165"
"SEN","10/01/2019","1","2420.5374","0","25.2515","2036.4483","18544.2879","319.2504","571.3438","1368.5898","1462.2312","2108.9905","1626.6779"
"SEN","10/01/2019","2","2328.0234","0","24.7218","1887.633","18192.3691","307.0452","571.241","1111.4258","1462.8228","2097.8491","1416.1686"
"SEN","10/01/2019","3","2338.4265","0","24.761","1658.6579","18203.0904","317.9988","572.2456","962.5838","1462.5956","2105.3528","1405.2922"
"SEN","10/01/2019","4","2278.6951","0","26.0067","1656.014","17973.7471","315.9937","572.7577","984.763","1462.7469","2021.8457","1410.0252"
"SEN","10/01/2019","5","2277.8216","0","22.5709","1659.3032","18084.7607","316.1164","572.8203","995.4536","1462.9851","1988.4869","1406.4416"
"SEN","10/01/2019","6","2313.9615","0","25.8451","1937.9373","18476.307","321.269","573.27","1152.5337","1462.4224","2071.3053","1416.9854"
"SEN","10/01/2019","7","2236.2809","0.0019","24.3542","2956.824","18760.8703","346.6008","574.2913","1035.519","1462.2052","2298.2932","1777.1788"
"SEN","10/01/2019","8","2231.781","21.1509","25.1275","3043.9646","19697.9515","393.3986","574.7979","1093.0302","1461.7458","2490.4585","1872.0315"
"SEN","10/01/2019","9","2250.817","563.0506","22.5378","3047.683","19821.0712","386.6666","572.6352","1271.2453","1458.1721","2543.7633","1865.6132"
"SEN","10/01/2019","10","2307.5397","1278.0523","23.1681","3047.5825","19451.6035","378.8464","568.3336","1635.2537","1461.546","2508.2743","1814.2909"
